run_tag,strategy,profile,concurrency,consistent,violations_count,active_reservations,released_reservations
atomic_update_mixed_c100_rep1,atomic_update,mixed,100,True,0,849,288
atomic_update_mixed_c100_rep2,atomic_update,mixed,100,True,0,794,276
atomic_update_mixed_c20_rep1,atomic_update,mixed,20,True,0,349,99
atomic_update_mixed_c20_rep2,atomic_update,mixed,20,True,0,871,378
atomic_update_mixed_c50_rep1,atomic_update,mixed,50,True,0,951,338
atomic_update_mixed_c50_rep2,atomic_update,mixed,50,True,0,873,353
atomic_update_mixed_c5_rep1,atomic_update,mixed,5,True,0,155,65
atomic_update_mixed_c5_rep2,atomic_update,mixed,5,True,0,510,247
atomic_update_read_heavy_c100_rep1,atomic_update,read_heavy,100,True,0,813,266
atomic_update_read_heavy_c100_rep2,atomic_update,read_heavy,100,True,0,779,285
atomic_update_read_heavy_c20_rep1,atomic_update,read_heavy,20,True,0,800,365
atomic_update_read_heavy_c20_rep2,atomic_update,read_heavy,20,True,0,809,373
atomic_update_read_heavy_c50_rep1,atomic_update,read_heavy,50,True,0,874,334
atomic_update_read_heavy_c50_rep2,atomic_update,read_heavy,50,True,0,784,334
atomic_update_read_heavy_c5_rep1,atomic_update,read_heavy,5,True,0,492,214
atomic_update_read_heavy_c5_rep2,atomic_update,read_heavy,5,True,0,506,213
atomic_update_spike_c100_rep1,atomic_update,spike,100,True,0,885,304
atomic_update_spike_c100_rep2,atomic_update,spike,100,True,0,1044,354
atomic_update_spike_c20_rep1,atomic_update,spike,20,True,0,978,392
atomic_update_spike_c20_rep2,atomic_update,spike,20,True,0,961,389
atomic_update_spike_c50_rep1,atomic_update,spike,50,True,0,954,398
atomic_update_spike_c50_rep2,atomic_update,spike,50,True,0,918,348
atomic_update_spike_c5_rep1,atomic_update,spike,5,True,0,591,212
atomic_update_spike_c5_rep2,atomic_update,spike,5,True,0,529,249
atomic_update_write_heavy_c100_rep1,atomic_update,write_heavy,100,True,0,922,359
atomic_update_write_heavy_c100_rep2,atomic_update,write_heavy,100,True,0,1016,349
atomic_update_write_heavy_c20_rep1,atomic_update,write_heavy,20,True,0,315,139
atomic_update_write_heavy_c20_rep2,atomic_update,write_heavy,20,True,0,969,386
atomic_update_write_heavy_c50_rep1,atomic_update,write_heavy,50,True,0,983,380
atomic_update_write_heavy_c50_rep2,atomic_update,write_heavy,50,True,0,1055,373
atomic_update_write_heavy_c5_rep1,atomic_update,write_heavy,5,True,0,184,69
atomic_update_write_heavy_c5_rep2,atomic_update,write_heavy,5,True,0,3,0
pessimistic_lock_mixed_c100_rep1,pessimistic_lock,mixed,100,True,0,973,330
pessimistic_lock_mixed_c100_rep2,pessimistic_lock,mixed,100,True,0,931,345
pessimistic_lock_mixed_c20_rep1,pessimistic_lock,mixed,20,True,0,299,126
pessimistic_lock_mixed_c20_rep2,pessimistic_lock,mixed,20,True,0,881,337
pessimistic_lock_mixed_c50_rep1,pessimistic_lock,mixed,50,True,0,941,359
pessimistic_lock_mixed_c50_rep2,pessimistic_lock,mixed,50,True,0,960,342
pessimistic_lock_mixed_c5_rep1,pessimistic_lock,mixed,5,True,0,196,67
pessimistic_lock_mixed_c5_rep2,pessimistic_lock,mixed,5,True,0,547,204
pessimistic_lock_read_heavy_c100_rep1,pessimistic_lock,read_heavy,100,True,0,857,325
pessimistic_lock_read_heavy_c100_rep2,pessimistic_lock,read_heavy,100,True,0,925,330
pessimistic_lock_read_heavy_c20_rep1,pessimistic_lock,read_heavy,20,True,0,901,358
pessimistic_lock_read_heavy_c20_rep2,pessimistic_lock,read_heavy,20,True,0,902,361
pessimistic_lock_read_heavy_c50_rep1,pessimistic_lock,read_heavy,50,True,0,943,383
pessimistic_lock_read_heavy_c50_rep2,pessimistic_lock,read_heavy,50,True,0,845,365
pessimistic_lock_read_heavy_c5_rep1,pessimistic_lock,read_heavy,5,True,0,454,238
pessimistic_lock_read_heavy_c5_rep2,pessimistic_lock,read_heavy,5,True,0,476,214
pessimistic_lock_spike_c100_rep1,pessimistic_lock,spike,100,True,0,33,95
pessimistic_lock_spike_c100_rep2,pessimistic_lock,spike,100,True,0,944,301
pessimistic_lock_spike_c20_rep1,pessimistic_lock,spike,20,True,0,905,370
pessimistic_lock_spike_c20_rep2,pessimistic_lock,spike,20,True,0,1010,361
pessimistic_lock_spike_c50_rep1,pessimistic_lock,spike,50,True,0,910,365
pessimistic_lock_spike_c50_rep2,pessimistic_lock,spike,50,True,0,0,0
pessimistic_lock_spike_c5_rep1,pessimistic_lock,spike,5,True,0,575,198
pessimistic_lock_spike_c5_rep2,pessimistic_lock,spike,5,True,0,557,217
pessimistic_lock_write_heavy_c100_rep1,pessimistic_lock,write_heavy,100,True,0,937,344
pessimistic_lock_write_heavy_c100_rep2,pessimistic_lock,write_heavy,100,True,0,957,331
pessimistic_lock_write_heavy_c20_rep1,pessimistic_lock,write_heavy,20,True,0,319,123
pessimistic_lock_write_heavy_c20_rep2,pessimistic_lock,write_heavy,20,True,0,795,318
pessimistic_lock_write_heavy_c50_rep1,pessimistic_lock,write_heavy,50,True,0,837,310
pessimistic_lock_write_heavy_c50_rep2,pessimistic_lock,write_heavy,50,True,0,971,345
pessimistic_lock_write_heavy_c5_rep1,pessimistic_lock,write_heavy,5,True,0,205,64
pessimistic_lock_write_heavy_c5_rep2,pessimistic_lock,write_heavy,5,True,0,6,1
pool_constrained_pool_c50,atomic_update,mixed,20,True,0,0,0
pool_high_concurrency_pool_c50,atomic_update,mixed,20,True,0,0,0
pool_standard_pool_c50,atomic_update,mixed,20,True,0,0,0
