run_tag,strategy,profile,concurrency,endpoint,method,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms
atomic_update_mixed_c100_rep1,atomic_update,mixed,100,/items [GET],GET,961,0,68.56,363.5,350.0,570.0,690.0
atomic_update_mixed_c100_rep1,atomic_update,mixed,100,/items/:id [GET],GET,967,0,68.98,354.77,340.0,550.0,720.0
atomic_update_mixed_c100_rep1,atomic_update,mixed,100,/items/:id/reserve [POST],POST,1118,38,79.76,369.93,360.0,570.0,730.0
atomic_update_mixed_c100_rep1,atomic_update,mixed,100,/metrics/consistency [GET],GET,158,0,11.27,368.11,370.0,550.0,660.0
atomic_update_mixed_c100_rep1,atomic_update,mixed,100,/reservations/:id/release [POST],POST,278,0,19.83,389.67,380.0,590.0,700.0
atomic_update_mixed_c100_rep2,atomic_update,mixed,100,/items [GET],GET,922,0,65.73,382.15,370.0,580.0,720.0
atomic_update_mixed_c100_rep2,atomic_update,mixed,100,/items/:id [GET],GET,939,0,66.94,376.76,360.0,590.0,760.0
atomic_update_mixed_c100_rep2,atomic_update,mixed,100,/items/:id/reserve [POST],POST,1045,28,74.5,390.52,370.0,620.0,870.0
atomic_update_mixed_c100_rep2,atomic_update,mixed,100,/metrics/consistency [GET],GET,148,0,10.55,403.45,400.0,590.0,740.0
atomic_update_mixed_c100_rep2,atomic_update,mixed,100,/reservations/:id/release [POST],POST,258,0,18.39,408.57,400.0,630.0,730.0
atomic_update_mixed_c20_rep1,atomic_update,mixed,20,/items [GET],GET,343,0,85.8,35.04,37.0,55.0,63.0
atomic_update_mixed_c20_rep1,atomic_update,mixed,20,/items/:id [GET],GET,344,0,86.05,32.45,35.0,51.0,54.0
atomic_update_mixed_c20_rep1,atomic_update,mixed,20,/items/:id/reserve [POST],POST,412,16,103.06,45.69,49.0,70.0,76.0
atomic_update_mixed_c20_rep1,atomic_update,mixed,20,/metrics/consistency [GET],GET,60,0,15.01,44.37,47.0,69.0,82.0
atomic_update_mixed_c20_rep1,atomic_update,mixed,20,/reservations/:id/release [POST],POST,88,0,22.01,53.25,57.0,80.0,87.0
atomic_update_mixed_c20_rep2,atomic_update,mixed,20,/items [GET],GET,1051,0,74.93,46.4,47.0,63.0,72.0
atomic_update_mixed_c20_rep2,atomic_update,mixed,20,/items/:id [GET],GET,1091,0,77.78,43.45,45.0,60.0,66.0
atomic_update_mixed_c20_rep2,atomic_update,mixed,20,/items/:id/reserve [POST],POST,1249,37,89.05,60.8,62.0,83.0,97.0
atomic_update_mixed_c20_rep2,atomic_update,mixed,20,/metrics/consistency [GET],GET,187,0,13.33,58.92,59.0,78.0,90.0
atomic_update_mixed_c20_rep2,atomic_update,mixed,20,/reservations/:id/release [POST],POST,367,0,26.17,66.44,67.0,88.0,110.0
atomic_update_mixed_c50_rep1,atomic_update,mixed,50,/items [GET],GET,1072,0,76.42,148.47,150.0,180.0,200.0
atomic_update_mixed_c50_rep1,atomic_update,mixed,50,/items/:id [GET],GET,1068,0,76.14,144.1,150.0,180.0,190.0
atomic_update_mixed_c50_rep1,atomic_update,mixed,50,/items/:id/reserve [POST],POST,1298,37,92.53,164.85,170.0,200.0,220.0
atomic_update_mixed_c50_rep1,atomic_update,mixed,50,/metrics/consistency [GET],GET,164,0,11.69,159.03,170.0,200.0,210.0
atomic_update_mixed_c50_rep1,atomic_update,mixed,50,/reservations/:id/release [POST],POST,323,0,23.03,171.12,180.0,210.0,220.0
atomic_update_mixed_c50_rep2,atomic_update,mixed,50,/items [GET],GET,1105,0,78.79,149.45,150.0,180.0,220.0
atomic_update_mixed_c50_rep2,atomic_update,mixed,50,/items/:id [GET],GET,1075,0,76.65,143.3,150.0,180.0,190.0
atomic_update_mixed_c50_rep2,atomic_update,mixed,50,/items/:id/reserve [POST],POST,1215,32,86.63,164.44,170.0,200.0,230.0
atomic_update_mixed_c50_rep2,atomic_update,mixed,50,/metrics/consistency [GET],GET,188,0,13.41,164.75,170.0,210.0,290.0
atomic_update_mixed_c50_rep2,atomic_update,mixed,50,/reservations/:id/release [POST],POST,342,0,24.39,173.4,180.0,210.0,240.0
atomic_update_mixed_c5_rep1,atomic_update,mixed,5,/items [GET],GET,191,0,47.49,8.06,7.0,12.0,14.0
atomic_update_mixed_c5_rep1,atomic_update,mixed,5,/items/:id [GET],GET,211,0,52.46,7.03,7.0,10.0,12.0
atomic_update_mixed_c5_rep1,atomic_update,mixed,5,/items/:id/reserve [POST],POST,203,8,50.47,12.14,12.0,16.0,18.0
atomic_update_mixed_c5_rep1,atomic_update,mixed,5,/metrics/consistency [GET],GET,34,0,8.45,14.43,12.0,54.0,56.0
atomic_update_mixed_c5_rep1,atomic_update,mixed,5,/reservations/:id/release [POST],POST,63,0,15.66,13.75,14.0,17.0,20.0
atomic_update_mixed_c5_rep2,atomic_update,mixed,5,/items [GET],GET,690,0,49.14,8.75,8.0,14.0,19.0
atomic_update_mixed_c5_rep2,atomic_update,mixed,5,/items/:id [GET],GET,593,0,42.23,7.2,7.0,11.0,18.0
atomic_update_mixed_c5_rep2,atomic_update,mixed,5,/items/:id/reserve [POST],POST,770,33,54.84,12.78,12.0,18.0,22.0
atomic_update_mixed_c5_rep2,atomic_update,mixed,5,/metrics/consistency [GET],GET,127,0,9.05,12.91,12.0,19.0,22.0
atomic_update_mixed_c5_rep2,atomic_update,mixed,5,/reservations/:id/release [POST],POST,241,0,17.16,14.68,14.0,20.0,27.0
