run_tag,strategy,profile,concurrency,repetition,duration_seconds,consistency_passed,violations_count,total_requests,successful_requests,failed_requests,failure_rate,rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms
atomic_update_mixed_c5_rep1,atomic_update,mixed,5,1,5,True,0,702,694,8,1.14,174.53,9.75,9.0,16.0,18.0,3.4,56.22
atomic_update_mixed_c5_rep2,atomic_update,mixed,5,2,15,True,0,2421,2388,33,1.36,172.43,10.46,10.0,17.0,22.0,3.19,31.33
atomic_update_mixed_c20_rep1,atomic_update,mixed,20,1,5,True,0,1247,1231,16,1.28,311.94,39.58,41.0,66.0,76.0,3.83,87.52
pool_constrained_pool_c50,atomic_update,mixed,20,1,0,True,0,1308,1295,13,0.99,326.25,37.03,39.0,61.0,70.0,3.97,84.15
pool_high_concurrency_pool_c50,atomic_update,mixed,20,1,0,True,0,1288,1271,17,1.32,321.86,38.28,40.0,63.0,77.0,4.06,92.86
pool_standard_pool_c50,atomic_update,mixed,20,1,0,True,0,1334,1321,13,0.97,333.28,36.0,38.0,59.0,66.0,3.97,94.1
atomic_update_mixed_c20_rep2,atomic_update,mixed,20,2,15,True,0,3945,3908,37,0.94,281.26,52.6,52.0,78.0,88.0,4.96,135.07
atomic_update_mixed_c50_rep1,atomic_update,mixed,50,1,15,True,0,3925,3888,37,0.94,279.81,155.0,160.0,190.0,210.0,42.47,337.19
atomic_update_mixed_c50_rep2,atomic_update,mixed,50,2,15,True,0,3925,3893,32,0.82,279.87,155.23,160.0,200.0,220.0,37.73,349.1
atomic_update_mixed_c100_rep1,atomic_update,mixed,100,1,15,True,0,3482,3444,38,1.09,248.4,365.44,350.0,560.0,720.0,47.45,1031.97
atomic_update_mixed_c100_rep2,atomic_update,mixed,100,2,15,True,0,3312,3284,28,0.85,236.12,386.27,370.0,610.0,780.0,50.28,1082.27
atomic_update_read_heavy_c5_rep1,atomic_update,read_heavy,5,1,15,True,0,2342,2323,19,0.81,166.81,11.74,11.0,20.0,29.0,3.93,51.35
atomic_update_read_heavy_c5_rep2,atomic_update,read_heavy,5,2,15,True,0,2333,2305,28,1.2,166.1,11.86,11.0,20.0,29.0,3.67,44.42
atomic_update_read_heavy_c20_rep1,atomic_update,read_heavy,20,1,15,True,0,3791,3748,43,1.13,270.15,54.81,54.0,81.0,92.0,5.52,121.62
atomic_update_read_heavy_c20_rep2,atomic_update,read_heavy,20,2,15,True,0,3821,3786,35,0.92,272.19,54.64,54.0,80.0,90.0,7.15,119.58
atomic_update_read_heavy_c50_rep1,atomic_update,read_heavy,50,1,15,True,0,3903,3867,36,0.92,278.42,155.89,160.0,200.0,220.0,36.55,307.8
atomic_update_read_heavy_c50_rep2,atomic_update,read_heavy,50,2,15,True,0,3581,3544,37,1.03,255.6,171.23,170.0,230.0,290.0,48.81,430.53
atomic_update_read_heavy_c100_rep1,atomic_update,read_heavy,100,1,15,True,0,3254,3226,28,0.86,231.8,392.13,390.0,590.0,740.0,57.67,981.03
atomic_update_read_heavy_c100_rep2,atomic_update,read_heavy,100,2,15,True,0,3318,3295,23,0.69,236.5,384.1,370.0,580.0,760.0,53.94,1065.04
atomic_update_spike_c5_rep1,atomic_update,spike,5,1,15,True,0,2497,2478,19,0.76,177.74,9.8,10.0,16.0,18.0,3.27,31.85
atomic_update_spike_c5_rep2,atomic_update,spike,5,2,15,True,0,2488,2460,28,1.13,176.84,9.97,10.0,16.0,19.0,3.28,23.7
atomic_update_spike_c20_rep1,atomic_update,spike,20,1,15,True,0,4287,4242,45,1.05,305.8,47.03,47.0,69.0,77.0,4.97,127.97
atomic_update_spike_c20_rep2,atomic_update,spike,20,2,15,True,0,4236,4196,40,0.94,301.92,47.52,47.0,71.0,82.0,4.54,124.11
atomic_update_spike_c50_rep1,atomic_update,spike,50,1,15,True,0,4291,4250,41,0.96,305.46,140.88,140.0,180.0,190.0,35.84,317.25
atomic_update_spike_c50_rep2,atomic_update,spike,50,2,15,True,0,3876,3837,39,1.01,275.96,157.59,160.0,210.0,250.0,38.7,323.89
