strategy,profile,concurrency,rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,failure_rate,consistency_passed,total_requests
atomic_update,mixed,5,173.48000000000002,10.105,9.5,16.5,20.0,1.25,True,3123
atomic_update,mixed,20,321.86,38.28,40.0,63.0,76.0,0.99,True,9122
atomic_update,mixed,50,279.84000000000003,155.115,160.0,195.0,215.0,0.8799999999999999,True,7850
atomic_update,mixed,100,242.26,375.855,360.0,585.0,750.0,0.97,True,6794
atomic_update,read_heavy,5,166.45499999999998,11.8,11.0,20.0,29.0,1.005,True,4675
atomic_update,read_heavy,20,271.16999999999996,54.725,54.0,80.5,91.0,1.025,True,7612
atomic_update,read_heavy,50,267.01,163.56,165.0,215.0,255.0,0.9750000000000001,True,7484
atomic_update,read_heavy,100,234.15,388.115,380.0,585.0,750.0,0.7749999999999999,True,6572
atomic_update,spike,5,177.29000000000002,9.885000000000002,10.0,16.0,18.5,0.945,True,4985
atomic_update,spike,20,303.86,47.275000000000006,47.0,70.0,79.5,0.995,True,8523
atomic_update,spike,50,290.71,149.235,150.0,195.0,220.0,0.985,True,8167
atomic_update,spike,100,280.565,325.78,315.0,495.0,630.0,0.8200000000000001,True,7871
atomic_update,write_heavy,5,175.48000000000002,10.02,9.5,16.5,19.5,2.68,True,2700
atomic_update,write_heavy,20,311.28499999999997,42.885,42.5,69.5,93.0,0.915,True,5510
atomic_update,write_heavy,50,306.74,140.6,140.0,175.0,190.0,1.0350000000000001,True,8603
atomic_update,write_heavy,100,292.395,309.55,300.0,460.0,580.0,0.9600000000000001,True,8206
pessimistic_lock,mixed,5,171.91,10.47,10.5,17.5,20.0,1.145,True,3061
pessimistic_lock,mixed,20,291.91999999999996,46.805,47.0,74.0,87.5,1.08,True,5084
pessimistic_lock,mixed,50,287.21500000000003,150.935,150.0,190.0,205.0,0.855,True,8061
pessimistic_lock,mixed,100,276.95500000000004,327.95500000000004,325.0,475.0,615.0,1.045,True,7767
pessimistic_lock,read_heavy,5,167.38,11.235,11.0,19.0,21.5,0.9600000000000001,True,4699
pessimistic_lock,read_heavy,20,289.405,50.415,50.0,76.0,87.5,0.975,True,8119
pessimistic_lock,read_heavy,50,288.145,150.41500000000002,155.0,195.0,210.0,1.025,True,8079
pessimistic_lock,read_heavy,100,266.0,341.505,335.0,500.0,660.0,0.8300000000000001,True,7459
pessimistic_lock,spike,5,168.91,11.08,10.5,18.5,27.5,1.31,True,4742
pessimistic_lock,spike,20,295.22,49.3,48.5,75.0,86.0,1.1,True,8282
pessimistic_lock,spike,50,304.54999999999995,140.88,135.0,200.0,270.0,27.875,True,8528
pessimistic_lock,spike,100,303.59000000000003,308.675,295.0,445.0,560.0,29.88,True,8521
pessimistic_lock,write_heavy,5,164.015,11.82,11.0,22.0,29.0,6.885,True,2870
pessimistic_lock,write_heavy,20,275.4,51.72,52.0,85.0,105.5,0.85,True,4671
pessimistic_lock,write_heavy,50,269.65500000000003,162.34,160.0,210.0,245.0,0.96,True,7563
pessimistic_lock,write_heavy,100,281.18,322.645,315.0,480.0,620.0,1.0150000000000001,True,7882
