Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787509488,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787509489,50,,Aggregated,0.000000,0.000000,150,160,170,170,200,300,340,380,390,390,390,255,4,150,162.24650470859498,47.45280009228736,393.7407999765128,1437.521568627451
1787509490,100,,Aggregated,0.000000,0.000000,170,210,270,300,380,490,730,770,880,880,880,516,7,170,228.3630377911717,47.45280009228736,879.8960000276566,1422.0833333333333
1787509491,100,,Aggregated,148.000000,1.000000,260,360,400,410,480,590,730,780,1000,1000,1000,732,9,250,289.7906004091155,47.45280009228736,1031.965099973604,1489.9371584699454
1787509492,100,,Aggregated,212.000000,3.000000,340,390,420,440,520,600,730,770,1000,1000,1000,971,10,340,324.7434171984916,47.45280009228736,1031.965099973604,1507.908341915551
1787509493,100,,Aggregated,218.333333,2.666667,340,390,410,430,500,580,710,770,1000,1000,1000,1235,14,340,332.6260602425007,47.45280009228736,1031.965099973604,1548.2987854251012
1787509494,100,,Aggregated,218.000000,2.250000,340,380,410,420,490,570,690,750,1000,1000,1000,1515,19,340,335.6759895046515,47.45280009228736,1031.965099973604,1554.6145214521453
1787509495,100,,Aggregated,226.600000,2.400000,340,380,410,420,480,560,670,740,1000,1000,1000,1772,19,340,339.7904050790176,47.45280009228736,1031.965099973604,1566.867381489842
1787509496,100,,Aggregated,234.500000,2.666667,340,370,400,420,480,550,650,730,880,1000,1000,2060,24,340,340.1350245139114,47.45280009228736,1031.965099973604,1555.907281553398
1787509497,100,,Aggregated,239.285714,2.714286,340,370,400,410,470,540,630,720,880,1000,1000,2341,26,340,339.60419841894833,47.45280009228736,1031.965099973604,1537.1426740709098
1787509498,100,,Aggregated,243.375000,3.000000,340,370,400,410,470,540,620,720,880,1000,1000,2595,27,340,342.5639803467053,47.45280009228736,1031.965099973604,1537.7722543352602
1787509499,100,,Aggregated,248.222222,2.888889,340,380,400,420,480,540,620,700,880,1000,1000,2819,28,340,347.7581477118689,47.45280009228736,1031.965099973604,1538.0759134444838
1787509500,100,,Aggregated,249.700000,2.700000,350,390,420,440,490,560,650,720,900,1000,1000,3024,34,350,356.79743019144064,47.45280009228736,1031.965099973604,1534.211970899471
1787509501,100,,Aggregated,259.300000,2.700000,350,400,420,440,500,560,650,720,900,1000,1000,3257,35,350,361.4869707707292,47.45280009228736,1031.965099973604,1532.1338655204177
1787509502,100,,Aggregated,251.600000,2.500000,350,400,420,440,500,560,650,720,900,1000,1000,3482,38,350,365.44110347474845,47.45280009228736,1031.965099973604,1521.6137277426767
