Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787509584,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787509585,25,,Aggregated,0.000000,0.000000,74,80,83,85,93,99,100,120,120,120,120,261,5,74,75.02932873798956,36.54530004132539,120.38049998227507,1723.9655172413793
1787509586,50,,Aggregated,0.000000,0.000000,95,140,150,160,170,190,260,300,310,310,310,531,5,95,114.50488041654903,36.54530004132539,307.79530003201216,1676.5612052730696
1787509587,50,,Aggregated,196.000000,4.000000,150,170,180,190,210,220,230,280,310,310,310,769,8,150,139.1970730845069,36.54530004132539,307.79530003201216,1663.2639791937581
1787509588,50,,Aggregated,235.000000,2.500000,160,180,190,190,210,220,230,260,310,310,310,1027,9,160,149.62538276735998,36.54530004132539,307.79530003201216,1628.1226874391432
1787509589,50,,Aggregated,237.000000,2.666667,170,180,190,190,210,220,230,240,310,310,310,1290,11,170,154.35374930389082,36.54530004132539,307.79530003201216,1623.7077519379845
1787509590,50,,Aggregated,241.000000,2.000000,160,180,180,190,200,210,220,240,310,310,310,1591,14,160,154.37166210072846,36.54530004132539,307.79530003201216,1592.362664990572
1787509591,50,,Aggregated,246.400000,2.200000,160,170,180,190,200,210,220,230,310,310,310,1872,16,160,154.91209471258475,36.54530004132539,307.79530003201216,1576.8226495726497
1787509592,50,,Aggregated,253.166667,2.333333,160,170,180,180,200,210,220,230,310,310,310,2163,20,160,155.22894937658302,36.54530004132539,307.79530003201216,1606.8192325473879
1787509593,50,,Aggregated,257.571429,2.000000,160,170,180,180,200,210,220,230,310,310,310,2457,23,160,155.38133333441314,36.54530004132539,307.79530003201216,1607.932844932845
1787509594,50,,Aggregated,261.750000,2.250000,160,170,180,180,190,210,220,230,310,310,310,2740,24,160,155.62697682562828,36.54530004132539,307.79530003201216,1611.156204379562
1787509595,50,,Aggregated,264.000000,2.555556,160,170,170,180,190,210,220,220,300,310,310,3028,27,160,155.87582255676273,36.54530004132539,307.79530003201216,1611.4749009247028
1787509596,50,,Aggregated,267.300000,2.400000,160,170,170,180,190,200,220,220,300,310,310,3329,32,160,155.42113421518118,36.54530004132539,307.79530003201216,1615.3310303394412
1787509597,50,,Aggregated,276.000000,2.300000,160,170,170,180,190,200,220,220,300,310,310,3616,33,160,155.53920185337006,36.54530004132539,307.79530003201216,1601.9856194690265
1787509598,50,,Aggregated,278.500000,2.700000,160,170,170,180,190,200,210,220,300,310,310,3903,36,160,155.89397596731035,36.54530004132539,307.79530003201216,1607.4312067640276
