Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787509747,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787509748,10,,Aggregated,0.000000,0.000000,15,18,20,22,25,28,29,38,40,40,40,314,2,15,15.730300315382896,3.678999957628548,39.71289994660765,1596.4108280254777
1787509749,20,,Aggregated,0.000000,0.000000,28,43,49,52,60,67,76,78,86,86,86,613,7,28,32.5140443723193,3.678999957628548,86.20479993987828,1537.8988580750408
1787509750,20,,Aggregated,299.000000,2.000000,41,50,55,58,67,77,90,170,210,210,210,870,9,41,40.62730390899654,3.678999957628548,209.63659998960793,1577.8885057471264
1787509751,20,,Aggregated,296.000000,3.500000,43,50,55,58,67,74,83,160,200,210,210,1180,11,43,42.74886389878594,3.678999957628548,209.63659998960793,1504.293220338983
1787509752,20,,Aggregated,284.666667,3.000000,45,52,56,59,66,73,80,150,200,210,210,1484,13,45,44.10679582194199,3.678999957628548,209.63659998960793,1475.2594339622642
1787509753,20,,Aggregated,290.500000,2.750000,46,52,56,59,66,72,79,90,200,210,210,1789,13,46,44.99472744557007,3.678999957628548,209.63659998960793,1483.046953605366
1787509754,20,,Aggregated,293.600000,2.600000,46,52,56,59,66,72,78,84,200,210,210,2108,16,46,45.54632912739843,3.678999957628548,209.63659998960793,1458.3681214421251
1787509755,20,,Aggregated,296.166667,2.166667,47,53,57,60,67,73,83,100,200,210,210,2389,18,47,46.59435948076887,3.678999957628548,209.63659998960793,1458.4386772708247
1787509756,20,,Aggregated,298.428571,2.285714,47,53,57,60,66,73,83,99,200,210,210,2696,19,47,46.89283983674673,3.678999957628548,209.63659998960793,1456.897997032641
1787509757,20,,Aggregated,297.125000,2.250000,47,53,57,59,66,72,81,95,200,210,210,3022,23,47,46.82266753785433,3.678999957628548,209.63659998960793,1450.5036399735275
1787509758,20,,Aggregated,297.444444,2.111111,47,53,57,59,66,72,80,94,200,210,210,3316,24,47,47.19625373908225,3.678999957628548,209.63659998960793,1442.3356453558504
1787509759,20,,Aggregated,299.600000,2.300000,47,53,57,59,66,71,79,90,200,210,210,3632,28,47,47.300722301581985,3.678999957628548,209.63659998960793,1453.2907488986784
1787509760,20,,Aggregated,300.000000,2.100000,47,53,57,60,66,72,79,88,200,210,210,3933,34,47,47.7023258834697,3.678999957628548,209.63659998960793,1454.4607170099162
1787509761,20,,Aggregated,301.600000,2.100000,48,54,58,60,67,72,80,88,190,210,210,4215,38,48,48.1145951360263,3.678999957628548,209.63659998960793,1452.452431791222
