item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,107,93,53,107,True,[]
2,SKU-BENCH-0002,200,89,111,36,89,True,[]
3,SKU-BENCH-0003,200,120,80,24,120,True,[]
4,SKU-BENCH-0004,200,93,107,43,93,True,[]
5,SKU-BENCH-0005,200,115,85,42,115,True,[]
6,SKU-BENCH-0006,200,127,73,27,127,True,[]
7,SKU-BENCH-0007,200,124,76,42,124,True,[]
8,SKU-BENCH-0008,200,140,60,34,140,True,[]
9,SKU-BENCH-0009,200,73,127,27,73,True,[]
10,SKU-BENCH-0010,200,126,74,35,126,True,[]
11,SKU-BENCH-0011,200,140,60,36,140,True,[]
12,SKU-BENCH-0012,200,113,87,44,113,True,[]
13,SKU-BENCH-0013,200,98,102,37,98,True,[]
14,SKU-BENCH-0014,200,99,101,26,99,True,[]
15,SKU-BENCH-0015,200,108,92,44,108,True,[]
16,SKU-BENCH-0016,200,117,83,47,117,True,[]
17,SKU-BENCH-0017,200,111,89,38,111,True,[]
18,SKU-BENCH-0018,200,109,91,15,109,True,[]
19,SKU-BENCH-0019,200,102,98,39,102,True,[]
20,SKU-BENCH-0020,200,109,91,24,109,True,[]
