item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,126,74,22,126,True,[]
2,SKU-BENCH-0002,200,123,77,32,123,True,[]
3,SKU-BENCH-0003,200,140,60,31,140,True,[]
4,SKU-BENCH-0004,200,95,105,65,95,True,[]
5,SKU-BENCH-0005,200,109,91,44,109,True,[]
6,SKU-BENCH-0006,200,102,98,23,102,True,[]
7,SKU-BENCH-0007,200,124,76,31,124,True,[]
8,SKU-BENCH-0008,200,124,76,41,124,True,[]
9,SKU-BENCH-0009,200,125,75,44,125,True,[]
10,SKU-BENCH-0010,200,113,87,32,113,True,[]
11,SKU-BENCH-0011,200,112,88,41,112,True,[]
12,SKU-BENCH-0012,200,103,97,38,103,True,[]
13,SKU-BENCH-0013,200,128,72,35,128,True,[]
14,SKU-BENCH-0014,200,145,55,35,145,True,[]
15,SKU-BENCH-0015,200,105,95,38,105,True,[]
16,SKU-BENCH-0016,200,124,76,36,124,True,[]
17,SKU-BENCH-0017,200,112,88,28,112,True,[]
18,SKU-BENCH-0018,200,113,87,48,113,True,[]
19,SKU-BENCH-0019,200,132,68,54,132,True,[]
20,SKU-BENCH-0020,200,128,72,38,128,True,[]
