item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,86,114,48,86,True,[]
2,SKU-BENCH-0002,200,90,110,36,90,True,[]
3,SKU-BENCH-0003,200,103,97,34,103,True,[]
4,SKU-BENCH-0004,200,130,70,26,130,True,[]
5,SKU-BENCH-0005,200,91,109,44,91,True,[]
6,SKU-BENCH-0006,200,73,127,22,73,True,[]
7,SKU-BENCH-0007,200,81,119,39,81,True,[]
8,SKU-BENCH-0008,200,98,102,40,98,True,[]
9,SKU-BENCH-0009,200,127,73,54,127,True,[]
10,SKU-BENCH-0010,200,69,131,63,69,True,[]
11,SKU-BENCH-0011,200,74,126,26,74,True,[]
12,SKU-BENCH-0012,200,92,108,22,92,True,[]
13,SKU-BENCH-0013,200,100,100,39,100,True,[]
14,SKU-BENCH-0014,200,89,111,18,89,True,[]
15,SKU-BENCH-0015,200,83,117,30,83,True,[]
16,SKU-BENCH-0016,200,106,94,23,106,True,[]
17,SKU-BENCH-0017,200,103,97,53,103,True,[]
18,SKU-BENCH-0018,200,119,81,35,119,True,[]
19,SKU-BENCH-0019,200,97,103,23,97,True,[]
20,SKU-BENCH-0020,200,107,93,21,107,True,[]
