item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,172,28,6,172,True,[]
2,SKU-BENCH-0002,200,188,12,6,188,True,[]
3,SKU-BENCH-0003,200,189,11,7,189,True,[]
4,SKU-BENCH-0004,200,195,5,10,195,True,[]
5,SKU-BENCH-0005,200,172,28,10,172,True,[]
6,SKU-BENCH-0006,200,179,21,8,179,True,[]
7,SKU-BENCH-0007,200,181,19,15,181,True,[]
8,SKU-BENCH-0008,200,194,6,1,194,True,[]
9,SKU-BENCH-0009,200,166,34,3,166,True,[]
10,SKU-BENCH-0010,200,176,24,1,176,True,[]
11,SKU-BENCH-0011,200,191,9,15,191,True,[]
12,SKU-BENCH-0012,200,176,24,9,176,True,[]
13,SKU-BENCH-0013,200,186,14,0,186,True,[]
14,SKU-BENCH-0014,200,174,26,2,174,True,[]
15,SKU-BENCH-0015,200,186,14,14,186,True,[]
16,SKU-BENCH-0016,200,186,14,5,186,True,[]
17,SKU-BENCH-0017,200,183,17,3,183,True,[]
18,SKU-BENCH-0018,200,185,15,8,185,True,[]
19,SKU-BENCH-0019,200,175,25,11,175,True,[]
20,SKU-BENCH-0020,200,181,19,6,181,True,[]
