item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,131,69,16,131,True,[]
2,SKU-BENCH-0002,200,139,61,16,139,True,[]
3,SKU-BENCH-0003,200,133,67,24,133,True,[]
4,SKU-BENCH-0004,200,134,66,19,134,True,[]
5,SKU-BENCH-0005,200,151,49,20,151,True,[]
6,SKU-BENCH-0006,200,141,59,25,141,True,[]
7,SKU-BENCH-0007,200,148,52,11,148,True,[]
8,SKU-BENCH-0008,200,143,57,6,143,True,[]
9,SKU-BENCH-0009,200,140,60,13,140,True,[]
10,SKU-BENCH-0010,200,143,57,12,143,True,[]
11,SKU-BENCH-0011,200,165,35,34,165,True,[]
12,SKU-BENCH-0012,200,139,61,32,139,True,[]
13,SKU-BENCH-0013,200,130,70,7,130,True,[]
14,SKU-BENCH-0014,200,142,58,20,142,True,[]
15,SKU-BENCH-0015,200,145,55,18,145,True,[]
16,SKU-BENCH-0016,200,171,29,38,171,True,[]
17,SKU-BENCH-0017,200,147,53,21,147,True,[]
18,SKU-BENCH-0018,200,137,63,29,137,True,[]
19,SKU-BENCH-0019,200,156,44,25,156,True,[]
20,SKU-BENCH-0020,200,149,51,19,149,True,[]
