item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,114,86,25,114,True,[]
2,SKU-BENCH-0002,200,116,84,38,116,True,[]
3,SKU-BENCH-0003,200,119,81,38,119,True,[]
4,SKU-BENCH-0004,200,118,82,22,118,True,[]
5,SKU-BENCH-0005,200,113,87,30,113,True,[]
6,SKU-BENCH-0006,200,108,92,45,108,True,[]
7,SKU-BENCH-0007,200,119,81,41,119,True,[]
8,SKU-BENCH-0008,200,114,86,28,114,True,[]
9,SKU-BENCH-0009,200,90,110,46,90,True,[]
10,SKU-BENCH-0010,200,105,95,37,105,True,[]
11,SKU-BENCH-0011,200,113,87,44,113,True,[]
12,SKU-BENCH-0012,200,108,92,44,108,True,[]
13,SKU-BENCH-0013,200,120,80,52,120,True,[]
14,SKU-BENCH-0014,200,104,96,31,104,True,[]
15,SKU-BENCH-0015,200,120,80,60,120,True,[]
16,SKU-BENCH-0016,200,146,54,35,146,True,[]
17,SKU-BENCH-0017,200,86,114,31,86,True,[]
18,SKU-BENCH-0018,200,121,79,27,121,True,[]
19,SKU-BENCH-0019,200,111,89,32,111,True,[]
20,SKU-BENCH-0020,200,109,91,35,109,True,[]
