item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,94,106,36,94,True,[]
2,SKU-BENCH-0002,200,97,103,43,97,True,[]
3,SKU-BENCH-0003,200,108,92,33,108,True,[]
4,SKU-BENCH-0004,200,84,116,39,84,True,[]
5,SKU-BENCH-0005,200,115,85,36,115,True,[]
6,SKU-BENCH-0006,200,122,78,38,122,True,[]
7,SKU-BENCH-0007,200,100,100,44,100,True,[]
8,SKU-BENCH-0008,200,99,101,35,99,True,[]
9,SKU-BENCH-0009,200,101,99,33,101,True,[]
10,SKU-BENCH-0010,200,137,63,47,137,True,[]
11,SKU-BENCH-0011,200,140,60,40,140,True,[]
12,SKU-BENCH-0012,200,113,87,36,113,True,[]
13,SKU-BENCH-0013,200,103,97,37,103,True,[]
14,SKU-BENCH-0014,200,96,104,39,96,True,[]
15,SKU-BENCH-0015,200,129,71,30,129,True,[]
16,SKU-BENCH-0016,200,110,90,31,110,True,[]
17,SKU-BENCH-0017,200,125,75,18,125,True,[]
18,SKU-BENCH-0018,200,106,94,31,106,True,[]
19,SKU-BENCH-0019,200,103,97,25,103,True,[]
20,SKU-BENCH-0020,200,125,75,39,125,True,[]
