item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,111,89,26,111,True,[]
2,SKU-BENCH-0002,200,127,73,35,127,True,[]
3,SKU-BENCH-0003,200,116,84,34,116,True,[]
4,SKU-BENCH-0004,200,125,75,33,125,True,[]
5,SKU-BENCH-0005,200,126,74,31,126,True,[]
6,SKU-BENCH-0006,200,128,72,41,128,True,[]
7,SKU-BENCH-0007,200,91,109,35,91,True,[]
8,SKU-BENCH-0008,200,118,82,22,118,True,[]
9,SKU-BENCH-0009,200,120,80,30,120,True,[]
10,SKU-BENCH-0010,200,128,72,16,128,True,[]
11,SKU-BENCH-0011,200,127,73,31,127,True,[]
12,SKU-BENCH-0012,200,115,85,37,115,True,[]
13,SKU-BENCH-0013,200,117,83,42,117,True,[]
14,SKU-BENCH-0014,200,101,99,39,101,True,[]
15,SKU-BENCH-0015,200,113,87,32,113,True,[]
16,SKU-BENCH-0016,200,130,70,26,130,True,[]
17,SKU-BENCH-0017,200,146,54,32,146,True,[]
18,SKU-BENCH-0018,200,108,92,16,108,True,[]
19,SKU-BENCH-0019,200,129,71,33,129,True,[]
20,SKU-BENCH-0020,200,107,93,24,107,True,[]
