Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787510018,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787510019,50,,Aggregated,0.000000,0.000000,90,100,110,110,120,140,150,150,180,180,180,215,3,90,94.0748181421483,60.088600032031536,176.15239997394383,1495.5813953488373
1787510020,50,,Aggregated,0.000000,0.000000,130,150,160,170,180,190,260,310,350,350,350,488,5,130,130.40168421866838,60.088600032031536,348.75720005948097,1577.622950819672
1787510021,50,,Aggregated,208.000000,3.000000,150,160,170,170,180,190,210,270,350,350,350,768,9,150,141.3696243475897,60.088600032031536,348.75720005948097,1573.6184895833333
1787510022,50,,Aggregated,240.000000,2.500000,150,160,160,170,180,190,200,250,330,350,350,1067,10,150,144.68204798355816,60.088600032031536,348.75720005948097,1567.2136832239926
1787510023,50,,Aggregated,254.000000,3.000000,150,160,160,170,180,180,190,220,330,350,350,1371,12,150,146.15784033492375,60.088600032031536,348.75720005948097,1567.1057622173596
1787510024,50,,Aggregated,264.000000,2.500000,150,160,160,170,180,180,190,200,330,350,350,1665,12,150,147.34457447452263,60.088600032031536,348.75720005948097,1547.7315315315316
1787510025,50,,Aggregated,272.000000,2.400000,150,160,170,170,180,190,190,210,330,350,350,1941,13,150,149.74850391556922,60.088600032031536,348.75720005948097,1508.2653271509532
1787510026,50,,Aggregated,275.500000,2.000000,150,160,170,170,180,190,190,200,320,350,350,2224,15,150,150.96925373178473,60.088600032031536,348.75720005948097,1517.6106115107914
1787510027,50,,Aggregated,276.000000,1.857143,150,160,170,170,180,190,190,200,320,350,350,2513,17,150,152.07733000402396,60.088600032031536,348.75720005948097,1493.5117389574214
1787510028,50,,Aggregated,276.750000,1.875000,150,160,170,170,180,190,190,200,320,350,350,2800,21,150,152.78642564280224,60.088600032031536,348.75720005948097,1480.807142857143
1787510029,50,,Aggregated,277.666667,1.777778,150,160,170,170,180,190,190,200,320,350,350,3104,24,150,152.2175784468964,60.088600032031536,348.75720005948097,1485.7770618556701
1787510030,50,,Aggregated,278.500000,2.100000,150,160,170,170,180,190,190,200,320,350,350,3406,26,150,152.19047847895703,60.088600032031536,348.75720005948097,1475.641514973576
1787510031,50,,Aggregated,288.400000,2.100000,150,160,170,170,180,190,190,200,320,350,350,3692,30,150,152.8271233478754,60.088600032031536,348.75720005948097,1472.2624593716143
1787510032,50,,Aggregated,291.100000,2.100000,150,160,170,170,180,190,190,200,320,350,350,3986,31,150,152.8450701206937,60.088600032031536,348.75720005948097,1477.553687907677
