item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,181,19,20,181,True,[]
2,SKU-BENCH-0002,200,182,18,21,182,True,[]
3,SKU-BENCH-0003,200,164,36,19,164,True,[]
4,SKU-BENCH-0004,200,151,49,14,151,True,[]
5,SKU-BENCH-0005,200,172,28,6,172,True,[]
6,SKU-BENCH-0006,200,164,36,17,164,True,[]
7,SKU-BENCH-0007,200,168,32,21,168,True,[]
8,SKU-BENCH-0008,200,153,47,6,153,True,[]
9,SKU-BENCH-0009,200,158,42,4,158,True,[]
10,SKU-BENCH-0010,200,173,27,15,173,True,[]
11,SKU-BENCH-0011,200,164,36,7,164,True,[]
12,SKU-BENCH-0012,200,174,26,18,174,True,[]
13,SKU-BENCH-0013,200,173,27,14,173,True,[]
14,SKU-BENCH-0014,200,168,32,19,168,True,[]
15,SKU-BENCH-0015,200,172,28,14,172,True,[]
16,SKU-BENCH-0016,200,160,40,8,160,True,[]
17,SKU-BENCH-0017,200,172,28,6,172,True,[]
18,SKU-BENCH-0018,200,174,26,9,174,True,[]
19,SKU-BENCH-0019,200,168,32,7,168,True,[]
20,SKU-BENCH-0020,200,180,20,19,180,True,[]
