item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,164,36,14,164,True,[]
2,SKU-BENCH-0002,200,184,16,9,184,True,[]
3,SKU-BENCH-0003,200,153,47,17,153,True,[]
4,SKU-BENCH-0004,200,155,45,15,155,True,[]
5,SKU-BENCH-0005,200,164,36,24,164,True,[]
6,SKU-BENCH-0006,200,173,27,13,173,True,[]
7,SKU-BENCH-0007,200,170,30,12,170,True,[]
8,SKU-BENCH-0008,200,159,41,17,159,True,[]
9,SKU-BENCH-0009,200,183,17,12,183,True,[]
10,SKU-BENCH-0010,200,178,22,17,178,True,[]
11,SKU-BENCH-0011,200,169,31,10,169,True,[]
12,SKU-BENCH-0012,200,161,39,13,161,True,[]
13,SKU-BENCH-0013,200,156,44,10,156,True,[]
14,SKU-BENCH-0014,200,164,36,10,164,True,[]
15,SKU-BENCH-0015,200,169,31,2,169,True,[]
16,SKU-BENCH-0016,200,170,30,15,170,True,[]
17,SKU-BENCH-0017,200,159,41,15,159,True,[]
18,SKU-BENCH-0018,200,167,33,16,167,True,[]
19,SKU-BENCH-0019,200,179,21,12,179,True,[]
20,SKU-BENCH-0020,200,150,50,13,150,True,[]
