item_id,sku,initial_quantity,available_quantity,active_reserved_quantity,released_reserved_quantity,reconciled_quantity,is_consistent,violations
1,SKU-BENCH-0001,200,163,37,4,163,True,[]
2,SKU-BENCH-0002,200,177,23,8,177,True,[]
3,SKU-BENCH-0003,200,179,21,13,179,True,[]
4,SKU-BENCH-0004,200,170,30,17,170,True,[]
5,SKU-BENCH-0005,200,185,15,9,185,True,[]
6,SKU-BENCH-0006,200,181,19,12,181,True,[]
7,SKU-BENCH-0007,200,173,27,16,173,True,[]
8,SKU-BENCH-0008,200,170,30,9,170,True,[]
9,SKU-BENCH-0009,200,173,27,6,173,True,[]
10,SKU-BENCH-0010,200,163,37,6,163,True,[]
11,SKU-BENCH-0011,200,164,36,21,164,True,[]
12,SKU-BENCH-0012,200,156,44,19,156,True,[]
13,SKU-BENCH-0013,200,152,48,11,152,True,[]
14,SKU-BENCH-0014,200,170,30,10,170,True,[]
15,SKU-BENCH-0015,200,161,39,22,161,True,[]
16,SKU-BENCH-0016,200,173,27,10,173,True,[]
17,SKU-BENCH-0017,200,170,30,16,170,True,[]
18,SKU-BENCH-0018,200,166,34,19,166,True,[]
19,SKU-BENCH-0019,200,168,32,5,168,True,[]
20,SKU-BENCH-0020,200,151,49,16,151,True,[]
